Name,Description,Planning Method,Training Data,End-effector Hardware,Object Configuration,Input Data,Output Pose,"Corresponding Dataset
(see repository linked above)","Simulator
(see repository linked above)",Backbone,Metric(s) Used ,Camera Position(s),Language,Link(s),License,Maintainer(s),Citation,Year (Initial Release),Implement in ROS2?,COMPARE Status?
🤖 MISCGrasp,"MISCGrasp is a volumetric grasping method that integrates multi-scale feature extraction with contrastive feature enhancement for self-adaptive grasping. We propose a query-based interaction between high-level and low-level features through the Insight Transformer, while the Empower Transformer selectively attends to the highest-level features, which synergistically strikes a balance between focusing on fine geometric details and overall geometric structures. Furthermore, MISCGrasp utilizes multi-scale contrastive learning to exploit similarities among positive grasp samples, ensuring consistency across multi-scale features.",Supervised learning,Sim,Two-finger,"Singulated, Piled",Depth image,"""7-DoF grasp pose (x, y, z, r, p, y, gripper width)""",VGN,PyBullet,"VGN, Feature Pyramid Network (FPN)","Grasp success rate, Declutter rate",Eye-in-hand,"Python, PyTorch","https://github.com/kianyale/MISCGrasp 

https://miscgrasp.github.io/ ",,,"Fan, Qingyu, Yinghao Cai, Chao Li, Chunting Jiao, Xudong Zheng, Tao Lu, Bin Liang, and Shuo Wang. ""MISCGrasp: Leveraging Multiple Integrated Scales and Contrastive Learning for Enhanced Volumetric Grasping."" arXiv preprint arXiv:2507.02672 (2025).",2025,NOT OPEN SOURCE YET?,
🤖 QD-Grasp,A framework leveraging Quality-Diversity (QD) algorithms to generate repertoires of diverse and high-performing grasping trajectories and 6-DoF grasp poses in robotics.,Optimization,Sim,"Franka Emika Panda, Barrett Hand 280, Allegro Hand, Shadow Hand",Singulated,3D object model mesh,"""6-DoF grasp pose (x, y, z, r, p, y)""",QDGset,PyBullet,,"Grasp space coverage ratio, Sim-to-real transfer ratio",N/A,Python,"https://gitlab.isir.upmc.fr/l2g/qd_grasp 

https://qdgrasp.github.io/ ",MIT,,"Huber et al. (2023) ""Quality Diversity under Sparse Reward and Sparse Interaction: Application to Grasping in Robotics""; Huber et al. (2024) ""Speeding up 6-DoF Grasp Sampling with Quality-Diversity"", arXiv:2403.06173",2024,,
3DAPNet,"We present 3DAPNet, a new method for affordance-pose joint learning. Given the captured 3D point cloud of an object and a set of affordance labels conveyed through natural language texts, our objective is to jointly produce both the relevant affordance regions and the appropriate pose configurations that facilitate the affordances.",Generative,Sim,Two-finger,Singulated,Point cloud,"""6-DoF grasp pose (x, y, z, r, p, y)"", Affordance",3DAP,,PointNet++,"Coverage rate, Evaluated similarity metric",Overhead,Python,"https://3dapnet.github.io/ 

https://github.com/Fsoft-AIC/Language-Conditioned-Affordance-Pose-Detection-in-3D-Point-Clouds ",MIT,FPT Software AI Center,"Nguyen, Toan, Minh Nhat Vu, Baoru Huang, Tuan Van Vo, Vy Truong, Ngan Le, Thieu Vo, Bac Le, and Anh Nguyen. ""Language-conditioned affordance-pose detection in 3d point clouds."" In 2024 IEEE International Conference on Robotics and Automation (ICRA), pp. 3071-3078. IEEE, 2024.",2024,,
6-DoF GraspNet,6-DoF GraspNet formulates the problem of grasp generation as sampling a set of grasps using a variational autoencoder and assess and refine the sampled grasps using a grasp evaluator model. Both Grasp Sampler and Grasp Refinement networks take 3D point clouds observed by a depth camera as input. Our model is trained purely in simulation and works in the real world without any extra steps.,Sampling,Sim,Two-finger,Singulated,Point cloud,"""6-DoF grasp pose (x, y, z, r, p, y)""",ACRONYM,PyRender,PointNet++,"Image-based Grasp Quality (IGQ), Grasp success rate, Precision, Robust grasp rate, Planning time",Eye-in-hand,"Python, TensorFlow",https://github.com/NVlabs/6dof-graspnet ,MIT,NVIDIA,"Mousavian, Arsalan, Clemens Eppner, and Dieter Fox. ""6-dof graspnet: Variational grasp generation for object manipulation."" In Proceedings of the IEEE/CVF international conference on computer vision, pp. 2901-2910. 2019.",2019,Selected (Brian),
7DGCG,"7DGCG is a method that generates 7-DoF grasps (6D pose + opening width) in dense clutters, where full opening of the gripper might not be achievable due to space constraints.",Grasp evaluation + Sampler,Training-less,Two-finger,Cluttered,"Point cloud, RGBD image","""7-DoF grasp pose (x, y, z, r, p, y, gripper width)""",Custom,,,"Grasp success rate, Planning time",Overhead,Python,https://github.com/L-tj/7DGCG ,,Tianjiao Lei,"Lei, Tianjiao, Yizhuo Sun, Yi Huang, Jiangshuai Huang, and Tao Jiang. ""Efficient 7-DoF Grasp for Target-Driven Object in Dense Cluttered Scenes."" In 2025 IEEE International Conference on Robotics and Automation (ICRA), pp. 5685-5691. IEEE, 2025.",2025,,
AnyGrasp,"Utilization of grasp correspondence across observations enables dynamic grasp tracking. Our model, AnyGrasp, can generate accurate, full-DoF, dense and temporally-smooth grasp poses efficiently, and works robustly against large depth sensing noise. 
",Direct regression,"Real, Sim",Two-finger,Piled,Point cloud,"""7-DoF grasp pose (x, y, z, r, p, y, gripper width)""", GraspNet-1Billion ,PyRender,PointNet++,"Grasp success rate, Completion rate","Eye-in-hand, Overhead","Python, PyTorch","https://github.com/graspnet/anygrasp_sdk 

https://graspnet.net/anygrasp ",CC BY-NC-SA,"Machine Vision and Intelligence Group, Shanghai Jiao Tong University","Fang, Hao-Shu, Chenxi Wang, Hongjie Fang, Minghao Gou, Jirong Liu, Hengxu Yan, Wenhai Liu, Yichen Xie, and Cewu Lu. ""Anygrasp: Robust and efficient grasp perception in spatial and temporal domains."" IEEE Transactions on Robotics 39, no. 5 (2023): 3929-3945.",2023,Selected (Shambhuraj),
CAPGrasp,CAPGrasp is an R3 × SO(2)-equivariant 6-Degrees of Freedom (DoF) continuous approach-constrained generative grasp sampler. It includes a novel learning strategy for training CAPGrasp that eliminates the need to curate massive conditionally labeled datasets and a constrained grasp refinement technique that improves grasp poses while respecting the grasp approach directional constraints.,Sampling,"Sim, Real",Two-finger,Singulated,Point cloud,"""6-DoF grasp pose (x, y, z, r, p, y)""","ACRONYM, Custom",Issac-Gym,VAE,Grasp success rate,Side view,Python,"https://github.com/wengzehang/CAPGrasp 

https://wengzehang.github.io/CAPGrasp/ ",,,"Weng, Zehang, Haofei Lu, Jens Lundell, and Danica Kragic. ""CAPGrasp: An $\mathbb {R}^{3}\times\rm {SO (2)-equivariant} $ Continuous Approach-Constrained Generative Grasp Sampler."" IEEE Robotics and Automation Letters (2024).",2024,,
CaTGrasp,"This work proposes a framework to learn task-relevant grasping for industrial objects without the need of time-consuming real-world data collection or manual annotation. To achieve this, the entire framework is trained solely in simulation, including supervised training with synthetic label generation and self-supervised, hand-object interaction. In the context of this framework, CaTGrasp uses a novel, object-centric canonical representation at the category level, which allows establishing dense correspondence across object instances and transferring task-relevant grasps to novel instances.",Sampling,Sim,Two-finger,Piled,Point cloud,"""6-DoF grasp pose (x, y, z, r, p, y)""",Custom,PyBullet,PointNet,Grasp success rate,Overhead,"Python, PyTorch","https://github.com/wenbowen123/catgrasp 

https://sites.google.com/view/catgrasp ","MIT, Apache 2.0",Bowen Wen,"Wen, Bowen, Wenzhao Lian, Kostas Bekris, and Stefan Schaal. ""Catgrasp: Learning category-level task-relevant grasping in clutter from simulation."" In 2022 International Conference on Robotics and Automation (ICRA), pp. 6401-6408. IEEE, 2022.",2022,Selected (Shambhuraj),
Contact-GraspNet,"Contact-GraspNet treats 3D points of the recorded point cloud as potential grasp contacts. By rooting the full 6-DoF grasp pose and width in the observed point cloud, we can reduce the dimensionality of our grasp representation to 4-DoF which greatly facilitates the learning process. Our class-agnostic approach is trained on 17 million simulated grasps and generalizes well to real world sensor data.",Direct regression,Sim,Two-finger,Structured,"Depth image, RGBD image","""6-DoF grasp pose (x, y, z, r, p, y)""",ACRONYM,NVIDIA FleX,PointNet++,"Grasp success rate, Grasp success at first trial, Number of re-grasps",Oblique view,"Python, TensorFlow",https://github.com/NVlabs/contact_graspnet ,,NVIDIA,"Sundermeyer, Martin, Arsalan Mousavian, Rudolph Triebel, and Dieter Fox. ""Contact-graspnet: Efficient 6-dof grasp generation in cluttered scenes."" In 2021 IEEE International Conference on Robotics and Automation (ICRA), pp. 13438-13444. IEEE, 2021.",2021,Selected (Brian),Daniel integrating in ROS 1 and ROS 2
Deep Dexterous Grasping (DDG),"Deep Dexterous Grasping (DDG) uses deep neural networks to improve the state-of-the-art in dexterous grasping of previously unseen objects using a single view camera.
",Sampling,Sim,Multi-finger,Singulated,Depth image,"""6-DoF grasp pose (x, y, z, r, p, y)""",Deep Dexterous Grasping (DDG),MuJoCo,"VGG-16, ResNet-50",Grasp success rate (top ranked),Oblique view,C++,"https://github.com/rusen/Grasp/ 

https://rusen.github.io/DDG/ ",GPL-3.0,Umit Rusen Aktas,"Aktaş, Ümit Ruşen, Chao Zhao, Marek Kopicki, and Jeremy L. Wyatt. ""Deep dexterous grasping of novel objects from a single view."" International Journal of Humanoid Robotics 19, no. 02 (2022): 2250011.",2019,,
